sender,receiver,number_of_characters,contains_urgent,contains_important,urgency_classification,send_date,send_time,claim_type,initial_priority,number_of_attachments,message_language
Architect,Electrician,82,False,False,not urgent and not important,1999-01-05,1999-01-05 18:19:12,administrative,low,0,English
electrician,electrician,66,False,False,not urgent and not important,1997-10-08,1997-10-08 07:57:40,technical,high,0,English
Contractor,Architect,153,False,False,not urgent and not important,2018-04-27,2018-04-27 14:57:08,technical,low,1,Spanish
Owner,Owner,46,False,False,not urgent and not important,1990-12-30,1990-12-30 12:34:20,administrative,low,0,English
Electrician,Architect,312,False,False,not urgent and not important,1998-10-08,1998-10-08 16:35:03,logistical,low,0,German
Consultant,Designer,293,False,False,not urgent and not important,1991-12-09,1991-12-09 09:37:17,logistical,high,0,French
Other,Other,27,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,logistical,high,0,Spanish
Contractor,Architect,338,False,False,not urgent and not important,1998-02-03,1998-02-03 15:14:16,administrative,medium,0,English
Project Manager,Architect,105,False,False,not urgent and not important,1995-09-20,1995-09-20 11:27:27,logistical,low,0,Spanish
Architect,Architect,140,False,False,not urgent and not important,2016-07-07,2016-07-07 11:00:00,logistical,high,0,English
engineer,engineer,101,False,False,not urgent and not important,1992-12-19,1992-12-19 12:47:56,technical,medium,0,English
Architect,Architect,218,False,False,not urgent and important,1995-03-06,1995-03-06 15:05:39,technical,medium,0,English
Electrician,Engineer,2,False,False,not urgent and not important,1990-10-26,1990-10-26 10:50:16,technical,medium,0,Spanish
General Contractor,Owner,37,False,False,not urgent and not important,1999-12-22,1999-12-22 16:59:44,logistical,low,0,English
architect,architect,52,False,False,not urgent and not important,2019-09-17,2019-09-17 15:58:56,logistical,medium,0,English
Architect,Electrician,96,False,False,not urgent and not important,1991-08-20,1991-08-20 23:07:21,technical,high,0,English
insurance,insurance,173,False,False,not urgent and not important,2022-04-13,2022-04-13 00:28:59,financial,low,0,English
electrician,architect,21,True,False,urgent and not important,2016-03-25,2016-03-25 00:00:00,technical,medium,0,German
Architect,Electrician,87,False,False,not urgent and not important,1992-08-04,1992-08-04 11:49:16,technical,medium,0,English
Architect,Architect,9,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,low,0,English
Electrician,General Contractor,224,False,False,not urgent and not important,1999-03-08,1999-03-08 15:35:03,technical,medium,0,English
Other,Architect,63,False,False,not urgent and not important,1998-08-24,1998-08-24 19:34:25,technical,low,0,English
Electrician,Electrician,132,False,False,not urgent and not important,1999-03-01,1999-03-01 12:36:33,technical,low,0,Spanish
architect,electrician,251,False,False,not urgent and not important,1994-08-11,1994-08-11 04:03:03,logistical,medium,0,English
Architect,Project Manager,103,False,False,not urgent and not important,2022-11-03,2022-11-03 13:17:55,administrative,low,0,Spanish
Electrician,Architect,3,False,False,not urgent and not important,2019-01-07,2019-01-07 11:27:37,administrative,low,0,English
Architect,Electrician,287,False,False,not urgent and not important,2022-08-27,2022-08-27 11:04:52,logistical,low,0,English
Engineer,Architect,3180,False,False,not urgent and not important,1950-01-02,1950-01-02 06:08:43,administrative,low,0,English
draughting engineer,architect,125,False,False,not urgent and not important,2019-07-05,2019-07-05 14:00:42,logistical,medium,0,English
Electrician,Architect,19,False,False,not urgent and not important,1988-09-09,1988-09-09 00:00:00,technical,medium,0,French
electrician,architect,15,False,False,not urgent and not important,1991-05-26,1991-05-26 11:51:47,technical,medium,0,German
Electrician,Architect,427,False,False,not urgent and not important,2015-03-02,2015-03-02 00:00:37,logistical,medium,1,German
Electrician,Architect,30,False,False,not urgent and not important,1969-11-24,1969-11-24 20:54:17,technical,high,0,English
Project Manager,Project Manager,122,False,False,not urgent and not important,1993-06-02,1993-06-02 12:10:28,administrative,medium,0,Spanish
General contractor,Owner,175,False,True,not urgent and important,2016-11-04,2016-11-03 21:24:17,administrative,medium,0,English
Architect,Contractor,184,False,False,not urgent and not important,1986-01-24,1986-01-24 13:26:59,technical,medium,0,German
Mechanical,Architect,74,False,False,not urgent and not important,1996-11-08,1996-11-08 21:26:58,technical,medium,0,English
Architect,Electrician,52,False,False,not urgent and not important,1998-12-14,1998-12-14 00:00:00,administrative,medium,1,English
Architect,Contractor,180,False,False,not urgent and not important,1988-05-12,1988-05-12 10:48:36,financial,low,0,English
Electrician,Architect,87,False,False,not urgent and not important,1999-09-15,1999-09-15 09:18:00,technical,high,0,English
Architect,Project Manager,163,False,False,not urgent and not important,2022-02-18,2022-02-18 13:22:18,technical,medium,0,English
electrician,architect,101,False,False,not urgent and not important,1995-03-13,1995-03-13 14:23:52,technical,medium,0,English
architect,acoustician,194,False,False,not urgent and not important,2012-08-06,2012-08-06 15:51:21,logistical,medium,0,English
project manager,project manager,79,False,False,not urgent and not important,2019-05-14,2019-05-14 09:19:22,logistical,low,0,German
Architect,Electrician,108,False,False,not urgent and not important,1985-04-15,1985-04-15 07:16:26,technical,high,0,English
Subcontractor,Subcontractor,126,False,False,not urgent and not important,2020-04-01,2020-04-01 11:20:42,logistical,low,0,English
electrician,Architect,120,False,False,not urgent and not important,1991-01-07,1991-01-07 18:31:22,logistical,low,0,English
Consultant,Consultant,8,False,False,not urgent and not important,2016-03-01,2016-03-01 15:46:53,technical,low,0,English
Architect,Architect,234,True,False,not urgent and not important,2022-10-08,2022-10-08 21:58:32,logistical,medium,3,English
Electrician,Electrician,278,False,False,not urgent and not important,2015-04-29,2015-04-29 15:08:36,technical,high,1,Spanish
Electrician,Electrician,53,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,logistical,medium,0,German
Architect,Subcontractor,110,False,False,not urgent and not important,1994-04-28,1994-04-28 11:59:40,technical,medium,0,French
Electrician,Architect,48,False,True,urgent and important,1970-01-01,1970-01-01 00:00:00,technical,high,0,German
Architect,Architect,105,False,False,not urgent and not important,1999-07-18,1999-07-18 18:25:13,technical,medium,0,English
Electrician,Architect,47,False,False,not urgent and not important,2016-04-27,2016-04-27 16:07:59,logistical,low,0,English
architect,electrician,155,False,False,not urgent and not important,2019-12-02,2019-12-02 22:43:27,technical,medium,0,English
Electrician,General Contractor,92,False,False,not urgent and not important,1994-10-06,1994-10-06 19:20:41,technical,low,0,English
Electrician,Architect,107,False,False,not urgent and not important,1995-12-15,1995-12-15 12:39:02,technical,medium,0,English
Architect,Electrician,46,False,False,not urgent and not important,1997-01-23,1997-01-23 09:07:21,technical,low,0,English
MECHANICAL,MECHANICAL,13,False,False,not urgent and not important,1990-02-01,1990-02-01 08:10:50,administrative,medium,0,English
Architect,Architect,140,False,False,not urgent and not important,1997-02-05,1997-02-05 12:32:44,technical,high,0,English
Architect,Architect,286,False,False,not urgent and not important,2018-10-08,2018-10-08 14:49:22,administrative,high,1,Spanish
Architect 's Assistant,Electrician,36,False,False,not urgent and important,2017-03-27,2017-03-27 11:00:12,logistical,low,0,Spanish
Electrician,Electrician,44,False,False,not urgent and not important,2020-01-20,2020-01-20 06:28:52,technical,low,0,Spanish
Architect,Architect,47,False,False,not urgent and not important,2018-01-28,2018-01-28 08:45:51,technical,low,0,English
Architect,Insurance,18,False,False,not urgent and not important,1996-09-20,1996-09-20 17:45:27,technical,medium,1,German
architect,architect,152,False,False,not urgent and important,1970-01-17,1970-01-17 00:00:00,technical,medium,0,English
General Contractor,Owner,141,False,False,not urgent and not important,1987-05-29,1987-05-29 21:29:13,technical,medium,0,English
Architect,Contractor,396,False,False,not urgent and not important,2022-04-25,2022-04-25 18:35:21,technical,high,0,English
Contractor,Architect,398,False,False,not urgent and not important,2011-03-24,2011-03-24 08:23:56,administrative,high,0,English
Owner,General Contractor,1,False,False,not urgent and not important,1998-01-11,1998-01-11 17:46:12,technical,medium,0,English
Architect,Electrician,111,True,False,not urgent and not important,1983-01-06,1983-01-06 02:40:06,technical,medium,0,German
Architect,Electrician,106,False,False,not urgent and not important,1994-03-17,1994-03-17 22:48:27,technical,low,0,English
Engineering,Operations,89,False,False,not urgent and important,2018-07-13,2018-07-13 11:49:43,administrative,high,0,German
Architect,Electrician,170,False,False,not urgent and not important,1997-02-19,1997-02-19 22:06:34,technical,medium,0,English
Other,Other,685,False,False,not urgent and not important,1982-10-24,1982-10-24 09:49:00,administrative,medium,0,Spanish
Architect,Electrician,253,False,False,not urgent and not important,1994-04-19,1994-04-19 11:23:45,technical,high,0,English
Electrician,Architect,137,True,False,not urgent and not important,2023-01-13,2023-01-13 08:31:04,technical,medium,0,English
Electrical Engineer,Architect,587,True,False,not urgent and not important,1996-08-07,1996-08-07 15:41:00,technical,medium,0,French
construction manager,contractor,123,False,False,not urgent and not important,2018-10-30,2018-10-30 23:51:11,administrative,low,0,English
Electrician,Architect,272,False,False,not urgent and not important,2017-09-12,2017-09-12 19:24:23,technical,medium,0,English
Architect,Architect,20,False,False,not urgent and not important,1995-09-01,1995-09-01 12:48:21,logistical,medium,0,Spanish
Electrician,Electrician,11,False,False,not urgent and not important,1982-04-20,1982-04-20 14:13:01,technical,low,0,German
Project Manager,Project Manager,141,True,False,urgent and not important,1991-06-26,1991-06-26 16:38:43,financial,medium,0,English
Electrician,Electrician,16,False,False,not urgent and not important,2022-06-13,2022-06-13 14:32:48,technical,medium,0,English
Electrician,Architect,83,False,False,not urgent and not important,1997-02-19,1997-02-19 14:39:25,logistical,high,1,English
Electrician,Architect,58,False,False,not urgent and not important,1998-04-16,1998-04-16 12:40:31,technical,medium,0,Spanish
Electrician,Architect,72,False,False,not urgent and not important,1991-04-24,1991-04-24 14:10:53,technical,high,0,English
Electrician,Architect,75,False,False,not urgent and not important,1997-08-15,1997-08-15 18:56:14,technical,high,0,Spanish
architect,electrician,76,False,False,not urgent and not important,2021-04-13,2021-04-12 17:11:21,administrative,low,0,Spanish
other construction worker,electrician,133,False,False,not urgent and not important,2017-11-14,2017-11-14 12:11:38,technical,low,0,English
Consultant - Contractors,Contractor - Architect,100,False,False,not urgent and not important,1912-12-01,1912-12-01 13:53:21,technical,medium,0,French
Electrician,Architect,168,False,False,not urgent and not important,2018-08-15,2018-08-15 02:40:16,technical,low,0,English
Electrician,Electrician,273,False,False,not urgent and not important,2019-02-20,2019-02-20 10:59:53,technical,medium,0,English
Contractor,Project Manager,83,False,False,not urgent and not important,1999-05-12,1999-05-12 08:29:18,administrative,medium,0,English
Electrician,Architect,37,False,False,not urgent and not important,2019-07-16,2019-07-16 14:49:15,technical,low,0,German
Architect,Contractor,201,False,False,not urgent and not important,2016-04-19,2016-04-18 23:37:14,technical,low,0,English
Construction Manager,Project Manager,33,False,False,not urgent and not important,2022-11-17,2022-11-17 03:04:29,administrative,high,0,Spanish
Electrician,Electrician,68,False,False,not urgent and not important,1999-06-11,1999-06-11 09:56:41,technical,low,0,English
Electrician,Electrician,14,False,False,not urgent and important,1992-01-06,1992-01-06 12:05:14,technical,medium,0,English
Electrician,Electrician,148,False,False,not urgent and not important,1999-03-12,1999-03-12 19:24:14,logistical,medium,0,Spanish
Electrician,Architect,15,False,False,not urgent and not important,1997-03-23,1997-03-23 11:17:03,logistical,medium,0,Spanish
Electrician,Architect,120,False,False,not urgent and not important,2021-03-12,2021-03-12 11:48:16,technical,low,0,Spanish
Project Manager,Project Manager,32,False,False,not urgent and important,2018-01-08,2018-01-07 19:08:44,technical,medium,0,English
Manager,Cost Engineer,135,False,False,not urgent and important,2022-02-21,2022-02-21 18:49:40,logistical,medium,0,English
Consultant,Electrician,187,False,False,not urgent and not important,2022-05-14,2022-05-14 01:16:02,technical,medium,0,Spanish
Electrician,Contractor,294,False,False,not urgent and not important,2010-09-23,2010-09-23 17:11:51,technical,low,0,English
Electrician,Electrician,12,False,False,not urgent and not important,2018-08-09,2018-08-09 17:29:55,technical,medium,0,English
Electrician,Electrician,143,True,True,urgent and important,2017-08-10,2017-08-10 15:01:32,technical,high,0,English
Consultant,General Contractor,263,False,False,not urgent and not important,2016-05-03,2016-05-03 17:04:00,technical,medium,0,English
inspector,electrician,217,False,False,not urgent and not important,2018-07-10,2018-07-10 13:51:01,technical,medium,0,English
Architect,Architect,351,False,False,not urgent and not important,1988-03-17,1988-03-17 18:06:59,technical,medium,0,English
Electrical,Mechanical,131,False,False,not urgent and important,2019-04-11,2019-04-11 13:01:02,technical,low,0,German
Quantity Surveyor,Quantity Surveyor,373,False,True,not urgent and important,2018-05-09,2018-05-09 12:53:51,administrative,low,0,English
electrician,architect,11,False,False,not urgent and not important,1995-07-10,1995-07-10 02:48:51,technical,low,0,English
Architect,Architect,153,True,False,not urgent and important,2019-12-20,2019-12-20 08:28:56,financial,low,0,English
Electrician,Owner,141,False,False,not urgent and not important,2015-04-13,2015-04-12 23:14:53,technical,low,0,English
Electrical,Architect,227,False,False,not urgent and not important,2018-06-26,2018-06-26 12:18:51,technical,high,1,English
Subcontractor,Proprietor,1788,False,False,not urgent and not important,2015-08-06,2015-08-06 07:49:19,technical,medium,3,Spanish
Electrician,Architect,100,False,False,not urgent and not important,2018-08-10,2018-08-10 00:00:00,technical,medium,0,English
General Manager,Architect,681,False,False,not urgent and not important,2017-06-19,2017-06-19 08:51:16,technical,low,1,Spanish
Contractor,Contractor,41,False,False,not urgent and not important,1999-04-20,1999-04-20 15:53:56,logistical,medium,0,English
Architect,Electrician,69,False,False,not urgent and not important,2022-12-25,2022-12-25 12:39:58,technical,medium,0,English
Architect,Electrician,104,False,False,not urgent and not important,2020-09-16,2020-09-16 06:07:32,technical,high,0,English
Architect,Quantity Surveyor,150,False,False,not urgent and not important,1988-01-11,1988-01-11 12:55:35,technical,low,0,English
Architect,Architect,129,True,True,urgent and important,2018-01-03,2018-01-03 12:32:15,technical,medium,1,English
Mechanical,Architect,280,False,False,not urgent and not important,2022-06-28,2022-06-28 16:42:18,technical,medium,0,English
Architect,Electrician,152,False,False,not urgent and not important,1982-08-18,1982-08-18 18:17:28,technical,low,0,French
electrician,architect,110,False,False,not urgent and not important,2019-10-07,2019-10-07 06:46:41,logistical,medium,0,Spanish
Electrician,Electrician,286,False,False,not urgent and not important,1998-11-27,1998-11-27 14:20:56,technical,high,0,Spanish
Electrician,Electrician,32,False,False,not urgent and not important,2021-08-09,2021-08-09 18:33:59,technical,low,0,German
Architect,Architect,329,False,False,not urgent and not important,2015-02-27,2015-02-27 10:14:16,administrative,high,0,English
Architect,Architect,154,False,False,not urgent and not important,2019-04-24,2019-04-24 14:11:43,technical,medium,1,English
Electrician,Electrician,6,False,False,not urgent and not important,1985-04-04,1985-04-04 13:25:01,logistical,medium,0,German
Electrical Mechanic,Electrical Mechanic,70,False,False,not urgent and not important,2019-02-12,2019-02-12 12:42:42,technical,medium,0,Spanish
Electrician,Project Manager,42,True,False,urgent and important,2022-06-06,2022-06-06 10:03:40,technical,high,0,English
Construction Manager,Architect,224,False,False,not urgent and not important,1998-02-04,1998-02-04 16:24:54,technical,medium,0,Spanish
Electrician,Electrician,23,True,False,urgent and not important,2018-07-04,2018-07-04 17:10:42,administrative,high,0,Spanish
Architect,Electrician,34,False,False,not urgent and not important,1970-01-17,1970-01-17 15:01:52,technical,low,0,Spanish
Electrician,Architect,131,False,False,not urgent and not important,1984-03-18,1984-03-18 07:32:50,technical,low,0,Spanish
Contractor,Contractor,111,False,False,not urgent and not important,1997-10-27,1997-10-27 13:36:00,administrative,low,0,English
Vendor,Architect,156,False,False,not urgent and not important,1998-03-02,1998-03-02 16:38:13,technical,high,0,French
Electrical Foreman,Architect,161,False,False,not urgent and not important,2020-01-23,2020-01-23 16:24:39,logistical,low,0,English
Electrician,Electrician,219,False,False,not urgent and not important,2017-05-19,2017-05-19 00:18:50,technical,medium,0,English
Electrician,Architect,210,False,False,not urgent and not important,2017-08-25,2017-08-25 09:49:05,technical,medium,0,English
Contractor,Contractor,131,False,False,not urgent and not important,1961-03-22,1961-03-22 05:18:48,technical,low,0,English
Subcontractor,Principal,135,False,False,not urgent and not important,1998-05-28,1998-05-28 10:52:48,logistical,medium,0,English
Architect,Electrician,113,False,False,not urgent and not important,1997-04-28,1997-04-28 09:16:53,technical,high,0,Spanish
Owner,Engineer,128,False,True,urgent and important,2019-06-11,2019-06-11 08:00:48,administrative,high,0,English
Contractor,Owner,340,False,False,not urgent and not important,2019-05-07,2019-05-07 13:23:07,logistical,low,2,English
Architect,Architect,104,False,False,not urgent and not important,1998-03-27,1998-03-27 11:00:34,technical,medium,1,German
Masonry,Developer,100,False,False,not urgent and not important,1996-08-07,1996-08-07 11:50:44,logistical,high,0,English
Electrician,Electrician,125,True,False,not urgent and important,2018-11-12,2018-11-12 23:04:09,technical,high,1,English
Contractor,Architect,173,False,False,not urgent and not important,1994-01-25,1994-01-25 12:35:28,technical,medium,0,Spanish
architect,electrician,7,False,False,not urgent and not important,2019-01-04,2019-01-04 01:22:13,technical,low,0,English
Architect,Architect,241,False,False,not urgent and not important,2021-03-29,2021-03-29 19:37:26,technical,medium,1,English
Electrical,Electrician,68,False,False,not urgent and not important,1997-02-11,1997-02-11 14:32:30,technical,medium,0,English
Electrician,Electrician,475,False,False,not urgent and not important,2020-02-14,2020-02-14 00:53:26,technical,low,0,German
Architect,Electrician,116,False,False,not urgent and not important,1980-09-19,1980-09-19 09:50:56,logistical,high,0,English
Engineer,Project Manager,304,False,False,not urgent and not important,2019-11-19,2019-11-19 16:05:00,financial,medium,0,Spanish
Contractor,Owner,198,False,False,not urgent and not important,2021-02-09,2021-02-08 21:20:13,financial,low,0,English
Electrician,Architect,131,True,False,urgent and not important,2013-12-13,2013-12-13 02:00:25,technical,medium,0,Spanish
electrician,electrician,122,False,False,not urgent and not important,2017-02-18,2017-02-18 13:24:25,technical,medium,0,Spanish
Architect,Electrician,88,False,False,not urgent and not important,1996-03-17,1996-03-17 21:42:00,technical,medium,0,English
Architect,Electrician,111,False,False,not urgent and not important,1900-01-01,1900-01-01 00:00:00,administrative,medium,0,French
Owner,Architect,2897,True,False,not urgent and not important,2017-08-08,2017-08-08 22:27:24,technical,medium,2,Spanish
Consultant,Consultant,205,True,True,urgent and important,1992-12-16,1992-12-16 21:16:47,technical,high,0,English
Architect,Supervisor,197,True,False,not urgent and important,2017-09-06,2017-09-06 14:43:12,financial,high,0,Spanish
Carrier,General Contractor,117,False,False,not urgent and not important,2013-02-12,2013-02-12 14:29:30,administrative,medium,0,English
Superintendent,Construction Manager,238,False,False,not urgent and important,2022-01-26,2022-01-26 02:36:56,logistical,low,0,English
Inspector,engineer,173,False,False,not urgent and not important,1995-08-29,1995-08-29 14:08:43,technical,high,0,Spanish
Electrician,Project Manager,99,False,False,not urgent and not important,2022-03-10,2022-03-10 08:47:09,technical,medium,0,English
electrician,electrician,398,False,False,not urgent and not important,1998-10-15,1998-10-15 13:04:50,technical,low,0,English
Consultant,Consultant,132,False,False,not urgent and not important,2015-09-22,2015-09-22 16:58:07,technical,low,0,English
Electrical,Electrical,10,False,False,not urgent and not important,2017-06-01,2017-06-01 00:00:00,technical,low,0,English
Architect,Designer,76,False,False,urgent and important,2019-09-29,2019-09-29 10:15:36,technical,high,0,English
Executive,Executive,21,False,True,not urgent and important,2019-06-11,2019-06-11 11:23:02,administrative,medium,0,English
Electrical Engineer,Electrical Engineer,392,False,False,not urgent and not important,2018-08-07,2018-08-07 05:56:07,financial,high,0,English
Electrician,Electrician,216,False,False,not urgent and not important,1944-05-16,1944-05-16 00:00:00,technical,medium,0,English
Electrician,Architect,250,True,False,not urgent and not important,2019-11-06,2019-11-06 18:12:24,technical,medium,0,Spanish
Electrical contractor,Electrical contractor,40,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,financial,low,0,English
Architect,Electrician,790,False,False,not urgent and important,1970-01-01,1970-01-01 00:00:00,technical,low,0,German
Electrician,Electrician,151,False,False,not urgent and not important,2016-06-10,2016-06-10 14:50:58,administrative,high,0,English
Electrician,Electrician,30,False,False,not urgent and not important,1996-11-21,1996-11-21 13:43:42,technical,low,0,English
Contractor,Architect,64,False,False,not urgent and not important,2019-07-12,2019-07-12 11:03:31,technical,low,0,English
electrician,architect,34,False,False,not urgent and not important,2016-07-09,2016-07-09 10:55:01,technical,low,0,English
electrician,electrician,166,False,False,not urgent and not important,1997-01-23,1997-01-22 14:38:01,technical,medium,1,Spanish
Electrician,Electrician,55,False,False,not urgent and not important,2018-06-10,2018-06-10 07:23:31,technical,low,0,English
Contractor,General Contractor,336,False,False,not urgent and not important,2018-02-26,2018-02-26 12:11:23,technical,medium,0,Spanish
Architect,Architect,14,False,False,not urgent and not important,1998-11-01,1998-11-01 09:46:29,technical,low,0,English
Contractor,Owner,276,False,False,not urgent and not important,2015-01-26,2015-01-26 01:08:13,technical,high,0,English
Contractor,Contractor,218,False,False,not urgent and not important,1999-06-14,1999-06-14 13:49:29,financial,high,0,English
Electrician,Electrician,42,False,False,not urgent and not important,1997-06-17,1997-06-17 10:38:00,technical,medium,0,Spanish
Contractor,Owner,154,False,False,not urgent and not important,1997-10-03,1997-10-03 10:14:17,technical,medium,0,English
Electrical Contractor,Electrical Contractor,14,False,False,not urgent and not important,2019-11-25,2019-11-25 14:37:38,technical,high,0,English
electrician,electrician,157,False,False,not urgent and not important,1910-01-22,2022-09-17 07:30:31,technical,low,0,English
Electrician,Landscape Architect,155,False,False,not urgent and not important,2017-05-18,2017-05-18 10:17:35,technical,low,0,German
Architect,Owner,118,False,False,not urgent and not important,1941-01-04,1941-01-04 03:38:13,administrative,low,0,English
Electrician,Architect,313,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,high,0,English
HVAC,Electrician,151,True,False,not urgent and not important,1990-09-20,1990-09-20 14:28:00,logistical,low,0,English
Architect,Electrician,84,False,False,not urgent and not important,2017-05-15,2017-05-15 08:24:44,logistical,medium,0,Spanish
architect,architect,256,False,False,not urgent and not important,2023-03-14,2023-03-13 19:33:01,administrative,low,0,English
Architect,Subcontractor,92,False,False,not urgent and not important,1989-01-29,1989-01-29 11:16:12,technical,low,0,English
Electrician,Electrician,55,False,False,not urgent and important,1999-02-04,1999-02-04 10:00:00,technical,low,0,English
Electrician,Architect,279,False,False,not urgent and not important,2019-03-28,2019-03-28 18:01:53,administrative,medium,0,Spanish
Electrical,General Contractor,95,False,False,not urgent and important,1966-04-12,1966-04-12 14:53:09,technical,low,0,English
Electrician,Architect,191,False,False,not urgent and not important,2019-04-06,2019-04-06 11:45:55,technical,high,0,French
Architect,Architect,137,False,False,not urgent and not important,1984-08-23,1984-08-23 21:04:49,technical,medium,0,Spanish
Subcontractor,Subcontractor,31,False,False,not urgent and not important,1999-01-07,1999-01-07 16:49:00,administrative,low,0,Spanish
Contractor,Client,128,False,False,not urgent and not important,2018-09-17,2018-09-17 19:52:02,administrative,low,0,English
Electrician,Electrician,1,False,False,not urgent and not important,1990-11-14,1990-11-14 13:04:57,technical,low,0,German
Electrician,Electrician,28,False,False,not urgent and not important,2019-09-26,2019-09-26 15:57:22,technical,medium,0,Spanish
Electrician,Electrician,36,False,False,not urgent and not important,2020-06-08,2020-06-08 14:02:17,technical,low,0,English
subcontractor,owner,167,False,False,not urgent and not important,1900-01-01,1900-01-01 00:00:00,technical,low,0,English
Architect,Contractor,11,False,False,not urgent and not important,2019-06-06,2019-06-06 10:45:43,technical,high,0,English
Construction Manager,Director,300,True,False,urgent and not important,2021-11-18,2021-11-17 15:10:36,financial,high,0,English
Contractor,Contractor,191,False,False,not urgent and not important,1995-04-28,1995-04-28 19:49:15,technical,medium,0,English
Construction Manager,Electrical Contractor,20,False,False,not urgent and not important,2022-08-24,2022-08-24 14:25:45,technical,high,0,English
Customer,Contractor,41,False,False,not urgent and not important,2022-05-18,2022-05-18 08:42:03,technical,low,0,Spanish
Electrician,Electrician,114,False,False,not urgent and not important,1998-08-10,1998-08-10 16:37:16,logistical,medium,0,German
Electrician,Architect,32,False,False,not urgent and not important,2015-02-18,2015-02-18 19:05:52,technical,medium,0,French
Subcontractor,Subcontractor,141,False,False,not urgent and not important,1998-08-18,2017-02-27 17:53:51,technical,high,0,English
Architect,Architect,55,False,False,not urgent and important,2019-08-19,2019-08-19 14:54:34,technical,high,0,English
Consultant,Client,116,False,False,not urgent and not important,2018-08-03,2018-08-03 14:52:54,technical,low,0,German
Electrician,Electrician,105,False,False,not urgent and not important,2018-07-12,2018-07-12 11:19:29,administrative,low,0,English
Electrical,Electrical,139,False,False,not urgent and not important,1996-10-17,1996-10-17 10:53:33,logistical,low,0,English
Electrician,Architect,59,False,False,not urgent and not important,2023-05-18,2023-05-18 11:00:23,logistical,medium,0,English
Architect,Architect,5,False,False,not urgent and not important,1991-03-15,1991-03-15 09:56:00,administrative,low,0,Spanish
Electrician,Architect,247,False,False,not urgent and not important,2017-05-10,2017-05-10 12:50:49,technical,medium,0,English
Electrician,Electrician,15,False,False,not urgent and important,2022-05-26,2022-05-26 22:07:23,technical,high,0,Spanish
General Contractor,Owner,330,False,False,not urgent and not important,2017-01-09,2017-01-09 14:59:24,logistical,low,0,English
Architectural,Contractor,297,False,False,not urgent and not important,1997-06-13,1997-06-13 11:04:59,technical,medium,0,English
Architect,Engineer,288,False,False,not urgent and not important,1991-11-04,1991-11-04 23:32:34,technical,low,0,English
Architect,Electrician,126,False,False,not urgent and not important,1992-05-22,1992-05-22 06:31:13,technical,medium,0,German
Contractor,Customer,276,False,False,not urgent and not important,2019-05-20,2019-05-20 16:38:50,logistical,medium,0,English
Consultant,Consultant,122,False,False,not urgent and not important,1995-04-29,1995-04-29 09:02:55,administrative,low,0,German
Designer,Engineer,112,False,False,not urgent and not important,2021-05-28,2021-05-28 15:41:31,administrative,low,0,English
Electrician,Architect,359,False,False,not urgent and not important,1996-04-02,1996-04-02 15:59:31,technical,low,1,Spanish
Architect,Electrician,139,False,False,not urgent and not important,1999-11-04,1999-11-04 08:01:19,logistical,low,0,English
Architect,Contractor,278,False,False,not urgent and not important,1956-08-14,1956-08-14 05:32:28,administrative,high,0,English
Electrician,Designer,91,False,False,not urgent and not important,1988-11-08,1988-11-08 17:37:00,administrative,low,0,English
Contractor,Owner,212,False,False,not urgent and not important,1970-01-17,1970-01-17 00:00:00,technical,medium,0,English
Consultant,Contractor,168,False,False,not urgent and not important,2012-12-06,2012-12-06 21:20:03,technical,medium,0,English
architect,project manager,100,False,False,not urgent and not important,2020-12-19,2020-12-19 15:06:37,administrative,low,0,Spanish
architect,electrician,126,False,False,not urgent and not important,2021-08-11,2021-08-11 05:45:17,technical,medium,1,Spanish
Consultant,Client,206,False,False,not urgent and not important,1976-01-16,1976-01-16 11:09:11,administrative,low,0,English
Electrician,Architect,103,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,logistical,low,0,English
Electrician,Electrician,10,False,False,not urgent and not important,2021-07-27,2021-07-27 01:42:56,logistical,medium,0,English
Supplier,Customer,130,False,False,not urgent and not important,1989-10-03,1989-10-03 13:25:01,logistical,medium,0,Spanish
architect,owner,357,False,False,not urgent and not important,2016-02-23,2016-02-23 23:33:05,administrative,high,1,English
Electrician,Electrician,274,False,False,not urgent and not important,2020-01-06,2020-01-06 10:40:44,logistical,low,0,English
Electrician,Shopping Mall,157,False,False,not urgent and not important,2011-09-23,2011-09-23 09:26:24,technical,low,1,English
Mechanical,Management,5,False,False,not urgent and not important,2016-06-01,2016-06-01 05:52:41,administrative,medium,0,English
Architect,Electrician,231,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,medium,0,English
Electrician,Architect,18,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,medium,0,Spanish
Architect,Architect,258,False,False,not urgent and not important,2007-10-19,2007-10-19 02:24:55,technical,high,0,English
Project Manager,Electrician,245,False,False,not urgent and not important,2019-06-27,2019-06-27 13:36:09,logistical,high,0,English
Electrician,Architect,119,False,False,not urgent and not important,2017-08-17,2017-08-17 09:13:06,technical,high,0,Spanish
